sample,Ca3179,P_1782,S_1820
1A,512.4,3.743,19.59
2A,575.7,3.711,12.66
3A,175,2.141,7.856
4A,299.9,3.439,4.089
5A,845.6,2.369,18.97
6A,588.9,2.333,22.65
7A,403.2,3.716,2.427
7A*,409.9,3.176,2.237
8A,653.1,3.265,30.09
9A,382.8,6.447,9.873
10A,533,5.366,18.36
11A,244.2,5.079,34.74
12A,362.8,5.556,29.88
13A,438.1,4.959,27.23
14A,431.7,5.032,21.26
15A,278,5.042,37.23
16A,301.2,6.633,19.54
16A*,339.9,6.656,19.68
17A,32.83,3.636,4.927
18A,30.46,2.583,9.84
19A,83.21,3.163,6.817
20A,209.1,3.495,21.58
21A,265.5,7.84,22.11
22A,151.7,3.538,6.973
23A,248.8,5.666,19.64
24A,272.2,3.682,3.926
25A,407.1,5.235,13.76
25A*,411.2,5.364,14.14
26A,409,6.053,15.8
27A,516.3,2.851,3.881
28A,506.4,3.04,6.124
29A,482.1,3.424,4.729
30A,483.1,3.217,4.137
31A,378.6,3.454,2.8
32A,409.8,3.038,8.609
33A,416.5,3.184,2.604
34A,288.9,3.127,10.44
34A*,294.6,3.196,10.19
35A,458.3,3.15,3.931
36A,374.6,3.265,2.225
37A,382.6,3.232,2.711
38A,379.3,3.052,4.183
39A,338.3,2.501,2.744
40A,395.9,3.394,5.27
41A,281.3,2.812,2.035
41A*,280.4,2.865,2.23
42A,89,2.973,2.548
43A,253.6,3.727,11.54
46A,406.2,2.591,3.286
47A,222,2.209,4.202
48A,382,2.765,3.683
49A,409.4,2.778,3.769
50A,253.9,4.488,2.954
51A,394.6,5.049,24.78
52A,432.9,4.498,25.89
52A*,419.3,4.323,25.99
53A,322.3,7.094,6.284
54A,130.8,1.253,5.199
55A,177.4,1.588,1.92
56A,155.8,1.588,7.044
57A,118.1,3.646,4.822
58A,441.8,2.969,4.401
59A,16.48,2.014,1.682
63A,165.9,4.437,16.32
64A,175,3.891,14.16
64A*,171.1,3.95,14.63
65A,215.2,4.205,2.633
66A,290.2,4.074,9.747
67A,270.1,4.368,13.98
68A,246.9,4.427,7.581
69A,243.5,4.674,10.37
70A,199.7,3.813,1.69
71A,263.2,3.953,11.83
72A,189.2,3.431,2.275
73A,533.3,5.693,53.4
73A*,530.2,5.413,55.25
74A,432,5.906,10.14
75A,153.3,2.044,5.259
76A,281.3,2.108,2.007
77A,226.8,2.07,0.9437
78A,581.9,4.399,16.67
79A,382.6,1.819,4.116
80A,472.2,2.579,9.32
1B,373.5,4.142,28.44
1B*,379.2,4.185,28.3
2B,636.1,3.371,5.845
3B,178.5,1.834,5.71
4B,353.9,3.94,4.476
5B,723.4,2.438,21.95
6B,272,2.901,44.11
7B,403.7,2.613,6.483
8B,436.2,3.119,25.01
9B,305,5.415,22.9
10B,444.9,5.074,20.38
10B*,424.2,4.991,19.14
11B,271.8,5.177,29.67
12B,353.8,4.679,35.92
13B,458.2,4.528,37.38
14B,455.4,4.909,21.15
15B,345.4,3.245,14.42
16B,319.2,6.58,22.94
17B,98.31,3.044,2.2
18B,25.43,2.999,17.77
18B*,28.45,3.013,18.13
19B,49.8,2.8,1.799
20B,213.9,3.721,21.57
20B (2),258.5,4.003,24.8
21B,277.3,5.386,34.47
22B,92.6,3.567,12.91
23B,233.2,4.994,16.45
24B,254.2,4.903,8.913
25B,394.2,5.313,15.21
26B,366.2,5.207,14.9
27B,499.7,3.109,5.682
27B*,507.1,3.12,5.875
28B,465.8,3.099,5.027
29B,521,3.554,7.086
30B,496.1,3.347,6.104
30B (2),518.7,3.461,6.303
31B,342.5,3.089,2.834
32B,445.8,3.188,11.03
33B,435.9,3.229,2.846
34B,334.9,3.01,8.068
34B*,331.6,2.986,8.429
35B,481.4,3.027,4.606
36B,377.6,3.272,2.434
37B,393.3,3.188,4.534
38B,384.1,2.924,4.385
39B,349,2.807,4.275
40B,389.4,3.44,5.196
41B,167.1,3.005,3.459
42B,176.5,3.489,4.867
43B,252.4,3.656,12.57
43B*,243.8,3.619,12.54
46B,406.9,2.633,3.334
47B,398.9,2.809,6.053
48B,376,2.68,4.014
49B,358.7,2.469,2.046
50B,241,4.771,3.213
51B,402.9,5.304,17.33
52B,504.9,4.3,26.16
53B,300.9,6.315,6.023
54B,129.4,1.158,4.593
54B*,106.7,1.187,4.314
55B,143,1.807,2.744
56B,156.7,1.602,7.763
57B,178.7,3.952,6.287
58B,379.8,2.787,8.572
59B,11.56,2.796,0.8704
63B,195.1,3.253,4.968
64B,123.1,5.567,20.68
65B,198.5,4.182,7.983
67B,232.3,4.327,12.73
67B*,220.1,4.177,12.47
68B,268.4,4.895,8.146
69B,259.9,4.801,10.67
70B,216.4,4.327,1.624
71B,195.6,4.518,5.645
72B,182.9,3.01,2.529
73B,454.5,6.181,64.72
74B,479.1,6.665,16.6
74B*,486.3,6.679,14
75B,193.2,3.339,4.011
76B,271.6,2.172,2.224
77B,252.3,2.508,1.084
78B,626.6,3.401,19.22
79B,429,1.697,3.876
80B,432.9,1.697,3.925
1C,543.5,2.72,10.9
2C,499.5,4.03,17.84
3C,642.3,3.748,7.105
3C*,125.9,1.463,9.065
4C,445.9,2.979,30.39
5C,627,2.975,37.76
6C,334.9,2.84,41.51
7C,416.8,2.755,7.776
8C,270,3.938,6.299
9C,361.8,5.739,26.44
10C,192.8,4.634,35.47
11C,347.8,5.108,30.21
12C,350.8,4.842,37.69
12C*,359.4,4.814,37.52
13C,461.7,5.079,40.59
14C,466.9,5.155,23.51
15C,393.2,5.58,25.64
16C,297.8,6.081,23.86
17C,85.4,3.7,2.057
18C,37.62,3.599,25.32
19C,79.93,3.33,3.256
20C,272.6,5.024,21.91
21C,223.3,5.675,25.31
21C*,224.6,5.494,24.64
22C,81.5,3.445,17.41
23C,252.1,5.249,18.53
24C,276.1,4.488,6.337
25C,415.7,5.418,15.4
26C,419.4,5.967,12.63
27C,539.5,3.004,5.133
28C,491.6,3.302,8.018
28C*,499.4,3.121,7.601
29C,499.2,3.488,5.541
30C,496,3.582,4.883
31C,329.6,3.146,2.687
32C,409.3,3.271,10.34
33C,441.5,3.262,3.061
34C,314.5,3.872,12.71
35C,436.9,2.962,4.056
36C,372.3,3.384,2.268
37C,365.7,3.3,4.769
37C*,372.6,3.478,4.986
38C,407,2.987,6.229
39C,347.2,2.713,5.993
39C (2),379.4,2.952,6.274
40C,399.1,3.35,4.7
41C,191.3,2.818,2.627
42C,217.6,3.681,5.943
43C,217.7,3.824,13.37
46C,404.3,2.832,3.954
47C,396.8,2.849,5.683
48C,388.3,2.948,4.68
48C*,385,2.856,4.381
49C,374.5,2.685,3.256
50C,225.4,4.839,2.663
51C,461.8,5.286,21.78
52C,620.7,4.037,25.43
53C,362.1,7.624,7.822
54C,140.9,1.51,2.783
55C,127.8,1.598,5.086
56C,213.6,1.835,8.537
57C,42.84,4.64,29.45
57C*,40.3,4.628,28.35
58C,391.3,2.753,3.359
59C,10.62,2.257,1.023
63C,165.1,3.836,10.27
64C,183.9,3.813,7.282
65C,224.1,4.472,4.221
66C,271.2,4.164,7.27
67C,275.6,3.943,14.58
68C,250.1,4.478,10.54
68C*,255.9,4.534,9.931
49B,427.7,3.047,2.522
3C,152.1,1.847,12.39
69C,271.6,4.277,7.53
70C,187.6,4.003,2.43
71C,307.7,2.686,15.74
72C,223.3,4.288,3.727
73C,409.9,6.439,46.7
73C*,403.1,6.664,44.6
74C,480.5,6.423,16.67
75C,273.9,2.439,51.93
76C,262.9,1.874,2.12
77C,259.5,1.977,1.514
78C,839.9,3.509,23.78
79C,380.3,1.802,5.176
80C,449.3,2.306,11.18
80C*,471.1,2.401,11.88
