"date","et_ugs"
2024-07-02,0.0546530249
2024-07-03,15.42411805
2024-07-04,13.768374963
2024-07-05,13.0501655065
2024-07-06,12.145113721
2024-07-07,14.1399183212
2024-07-08,14.211206701
2024-07-09,12.766771825
2024-07-10,11.6085519027
2024-07-11,14.058686643
2024-07-12,12.788940797
2024-07-13,10.6987719634
2024-07-14,15.2905301696
2024-07-15,14.7327965512
2024-07-16,12.916678734
2024-07-17,13.54785881
2024-07-18,13.927482425
2024-07-19,12.958218533
2024-07-20,15.460498875
2024-07-21,14.0912970378
2024-07-22,11.3693909634
2024-07-23,11.899150848
2024-07-24,11.740438662
2024-07-25,12.78068085
2024-07-26,11.559285555
2024-07-27,13.16524372
2024-07-28,10.3607465553
2024-07-29,13.0768134306
2024-07-30,12.438653323
2024-07-31,10.8276683229
2024-08-01,11.471867553
2024-08-02,12.4796995764
2024-08-03,10.269444705
2024-08-04,11.338917413
2024-08-05,11.880729768
2024-08-06,12.892299666
2024-08-07,11.118055773
2024-08-08,11.173334703
2024-08-09,11.08005492
2024-08-15,1.635189795
2024-08-16,9.142129433
2024-08-17,3.723795265
2024-08-28,9.414362548
2024-08-29,8.2550047877
2024-08-30,7.36281870408
2024-08-31,7.6144176
2024-09-01,7.7237891564
2024-09-02,7.7590793637
2024-09-03,9.138272561
2024-09-04,7.3729582629
2024-09-05,8.3327509894
2024-09-06,7.4761583296
2024-09-07,7.28501378463
2024-09-08,6.642616259
2024-09-09,8.35340602184
2024-09-10,7.0179405938
2024-09-11,12.35768582
2024-09-12,7.6541503
2024-09-13,5.8076069345
2024-09-14,6.0738934939
2024-09-15,10.325930783
2024-09-16,7.806305123
2024-09-17,1.700672549
2024-09-18,3.09131174092
2024-09-24,3.0495247614
2024-10-07,0.48862589596
2024-10-08,4.24747855535
2024-10-09,4.21333552454
2024-10-10,4.010963083
2024-10-11,4.6978819478
2024-10-12,4.4404307143
2024-10-13,4.4659099432
2024-10-14,4.1023884306
2024-10-15,3.3931808446
2024-10-16,6.1012481438
2024-10-17,4.101678556
2024-10-18,6.19919302
2024-10-19,3.696612134673
2024-10-20,2.54710358723
2024-10-21,2.77001219488
2024-10-22,2.6841781841
2024-10-23,2.834609977365
2024-10-24,3.0497595048
2024-10-25,0.7944826589
NA,0
